,indice,page_number,line_number,text,text_type,speaker,time_added
606,1725,67,9,Objection.,side_chat,MR. ITKIN,start_answer
607,1726,67,10,"It would depend on the circumstance.  Look, securities trading is a fairly complicated area.  Credit debt, which is CDO, synthetic CDOs, are probably one of the most complex end of the spectrum. Synthetic itself doesn't have a typical thing.  It's usually bilaterally negotiated asset.  You don't have a typically frequently agreed instance once it's a collateral security, as by reference obligation in the first place.  There is no typical procedure of doing it. And I can repeat it as many number of times if you like, but I'm just not getting your question.  If you can",a,THE WITNESS,start_answer
608,1743,68,1,"Mathur - Attorneys' Eyes Only simply answer what you mean by typical, I would try and answer that better.",a,THE WITNESS,start_question
609,1746,68,4,"In the circumstances in which it was relevant to you to review the collateral securities in a synthetic CDO before deciding whether to invest in a synthetic CDO during your time at Deutsche Bank, what was it that made the collateral securities relevant to you?",q,MR. CROKE,start_chat
610,1753,68,11,Objection.,side_chat,MR. ITKIN,start_answer
611,1754,68,12,"The mere existence of it could make it relevant, for instance, in some cases.  But it really depends on the asset.",a,THE WITNESS,start_question
612,1757,68,15,"In the circumstances in which you invest in synthetic CDOs during your time at Deutsche Bank and the synthetic CDOs had collateral securities that you did not review the collateral securities, why would it not have been relevant in those circumstances?",q,MR. CROKE,start_chat
613,1764,68,22,Objection.,side_chat,MR. ITKIN,start_answer
614,1765,68,23,"Again, multiple reasons.  For example, if I have put those collateral security in it.",a,THE WITNESS,start_answer
615,1769,69,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
616,1770,69,2,Okay. Are there other reasons why it wouldn't have been relevant?,q,MR. CROKE,start_answer
617,1773,69,5,"If the collateral is cash, for instance, it might be relevant.",a,THE WITNESS,start_question
618,1775,69,7,Any other reasons that you could think of?,q,MR. CROKE,start_answer
619,1777,69,9,"There could be more, but -- there could probably be a sequence of other reasons, yeah.",a,THE WITNESS,start_question
620,1780,69,12,"If the synthetic CDO was over-collateralized, would that be a reason why it would not be relevant?",q,MR. CROKE,start_chat
621,1783,69,15,Objection.,side_chat,MR. ITKIN,start_answer
622,1784,69,16,What do you mean by over-collateralized?,a,THE WITNESS,start_question
623,1786,69,18,Do you have an understanding of what it means for a synthetic CDO to be over-collateralized?,q,MR. CROKE,start_chat
624,1789,69,21,Objection.,side_chat,MR. ITKIN,start_answer
625,1790,69,22,Do you understand that over-collateralized is a specific technical term?,a,THE WITNESS,start_question
626,1793,69,25,I'm asking do you have an,q,MR. CROKE,start_answer
627,1795,70,1,Mathur - Attorneys' Eyes Only understanding of what it means for a synthetic CDO to be over-collateralized.,a,THE WITNESS,start_answer
628,1798,70,4,"I do.  But I don't think we are on the same page, Jake.",a,THE WITNESS,start_question
629,1800,70,6,Can you explain your understanding?,q,MR. CROKE,start_answer
630,1802,70,8,"Over-collateralization happens for every tranche in a security in every single asset.  And no, that has no relevance to whether or not you review collateral security.  That's why I'm saying I think if I answer that question, you will receive it the wrong way.",a,THE WITNESS,start_question
631,1809,70,15,Okay. Do you have an understanding of what it means for a synthetic CDO to have collateral in it in excess of the outstanding balance of the notes that were issued by the synthetic CDO?,q,MR. CROKE,start_chat
632,1815,70,21,Objection.,side_chat,MR. ITKIN,start_answer
633,1816,70,22,The notional balance?,a,THE WITNESS,start_question
634,1817,70,23,Is that a question?,q,MR. CROKE,start_answer
635,1818,70,24,Yes.,a,THE WITNESS,start_question
636,1819,70,25,The notional balance of the,q,MR. CROKE,start_answer
637,1821,71,1,Mathur - Attorneys' Eyes Only synthetic CDO?,a,THE WITNESS,start_answer
638,1823,71,3,"No, are you asking -- could there be a notional balance higher?",a,THE WITNESS,start_question
639,1825,71,5,"I'm asking are you aware of any circumstance in which, for example, there is a synthetic CDO with $100 million notional of notes that are outstanding and $110 million of collateral?",q,MR. CROKE,start_answer
640,1830,71,10,"My question is, is your question about $110 million of notional?",a,THE WITNESS,start_question
641,1832,71,12,Of the collateral.,q,MR. CROKE,start_answer
642,1833,71,13,Of notional?,a,THE WITNESS,start_question
643,1834,71,14,You're saying notional.  Are you referring to the notional of the securities issued by the synthetic CDO or the notional of the collateral securities in the synthetic security --,q,MR. CROKE,start_answer
644,1839,71,19,"I'm asking you a question. You're saying $110 million, what, what is $110 million?",a,THE WITNESS,start_question
645,1842,71,22,Are you aware of any circumstances in which you can have a synthetic CDO that is issued $100 million notional of outstanding securities and,q,MR. CROKE,start_answer
646,1847,72,1,"Mathur - Attorneys' Eyes Only where the synthetic CDO holds collateral with a notional value of, for example, $110 million?",a,THE WITNESS,start_answer
647,1851,72,5,It can happen.,a,THE WITNESS,start_question
648,1852,72,6,"Okay. And in circumstances like that, how would you describe that synthetic CDO? Would you describe it as over-collateralized?",q,MR. CROKE,start_chat
649,1857,72,11,Objection.,side_chat,MR. ITKIN,start_answer
650,1858,72,12,No.,a,THE WITNESS,start_question
651,1859,72,13,Would you describe it as having excess collateral?,q,MR. CROKE,start_chat
652,1861,72,15,Objection.,side_chat,MR. ITKIN,start_answer
653,1862,72,16,No.,a,THE WITNESS,start_question
654,1863,72,17,Okay.  I just want to make sure we're taking on the same page.,q,MR. CROKE,start_answer
655,1865,72,19,"You keep using a technical term, over-collateralization.",a,THE WITNESS,start_question
656,1867,72,21,Uh-huh.,q,MR. CROKE,start_answer
657,1868,72,22,"And I'm asking you a question, you don't answer my question.  So I've not been able to answer it accurately as how I'm going to put this thing on this matter.",a,THE WITNESS,start_answer
658,1873,73,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
659,1874,73,2,Is there a term you would use to describe that circumstance that I just gave you?,q,MR. CROKE,start_answer
660,1877,73,5,There is no technical term on the circumstance that you gave me.,a,THE WITNESS,start_question
661,1879,73,7,How would you describe that circumstance?,q,MR. CROKE,start_answer
662,1881,73,9,"I asked you a question, when you say $110 million of collateral security, and you didn't answer my question -- hence I'm not able to answer your question.  Are you telling me $110 million of notional, Jake, of collateral securities?",a,THE WITNESS,start_question
663,1887,73,15,"My question to you was:  Are you aware of any circumstances in which you can have a synthetic CDO that is issuing $100 million notional of outstanding securities and where the synthetic CDO holds collateral with a notional value of, for example, $110 million?",q,MR. CROKE,start_answer
664,1894,73,22,Uh-huh.,a,THE WITNESS,start_question
665,1895,73,23,"And you responded it can happen. So my question to you now is, how would you describe the circumstance that I",q,MR. CROKE,start_answer
666,1899,74,1,Mathur - Attorneys' Eyes Only just described to you?,a,THE WITNESS,start_chat
667,1901,74,3,Objection.,side_chat,MR. ITKIN,start_answer
668,1902,74,4,There is no description of the circumstance as a technical word.,a,THE WITNESS,start_question
669,1904,74,6,"Okay. In a circumstance such as the one I just described, if you were making a decision whether or not to invest in the securities from that CDO, would it be your practice to review the collateral securities in that synthetic CDO?",q,MR. CROKE,start_chat
670,1911,74,13,Objection.,side_chat,MR. ITKIN,start_answer
671,1912,74,14,"It could be, if it is relevant at this time.",a,THE WITNESS,start_question
672,1914,74,16,And what might make it relevant?,q,MR. CROKE,start_answer
673,1915,74,17,What the collateral security is inside it.,a,THE WITNESS,start_question
674,1917,74,19,Why would that be relevant?,q,MR. CROKE,start_answer
675,1918,74,20,"The market value of it, for instance.  There are multiple reasons of how it could be relevant, or irrelevant for that matter.",a,THE WITNESS,start_question
676,1922,74,24,What are some of the reasons that might make it relevant?,q,MR. CROKE,start_answer
677,1925,75,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_chat
678,1926,75,2,Objection.,side_chat,MR. ITKIN,start_answer
679,1927,75,3,"As I said, the riskiness of collateral securities, for instance.",a,THE WITNESS,start_question
680,1929,75,5,Why would the riskiness of the collateral securities be relevant?,q,MR. CROKE,start_chat
681,1931,75,7,Objection.,side_chat,MR. ITKIN,start_answer
682,1932,75,8,"In a circumstance that I'm thinking about, if noteholders bear the risk of those collateral securities, then in those circumstances I would look to review them.",a,THE WITNESS,start_question
683,1937,75,13,"During your time at Deutsche Bank when you were deciding whether to invest in synthetic CDOs that had collateral securities, was it your practice to review the eligibility criteria for the collateral securities?",q,MR. CROKE,start_chat
684,1943,75,19,Objection.,side_chat,MR. ITKIN,start_answer
685,1944,75,20,"Again, I'm struggling with the word ""practice.""  Could you rephrase it without using the word practice?",a,THE WITNESS,start_question
686,1947,75,23,"During your time at Deutsche Bank, when you were deciding whether to invest in synthetic CDOs that had",q,MR. CROKE,start_answer
687,1951,76,1,"Mathur - Attorneys' Eyes Only collateral securities, did you ever review the collateral -- the eligibility criteria for those collateral securities?",a,THE WITNESS,start_chat
688,1955,76,5,Objection.,side_chat,MR. ITKIN,start_answer
689,1956,76,6,If I ever.  I may have.,a,THE WITNESS,start_question
690,1957,76,7,Why would you review the eligibility criteria in those circumstances?,q,MR. CROKE,start_chat
691,1960,76,10,Objection.,side_chat,MR. ITKIN,start_answer
692,1961,76,11,"As I previously mentioned, I don't recall.  Are you talking about secondary market as well?",a,THE WITNESS,start_question
693,1964,76,14,"My question is very general. I asked you:  During your time at Deutsche Bank, when you were deciding whether to invest in synthetic CDOs that had collateral securities, whether you ever reviewed the eligibility criteria for those collateral securities?",q,MR. CROKE,start_answer
694,1971,76,21,And I said I may have.,a,THE WITNESS,start_question
695,1972,76,22,Do you recall any specific instance in which you did so?,q,MR. CROKE,start_answer
696,1974,76,24,"I don't recall a specific instance, though.",a,THE WITNESS,start_answer
697,1977,77,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
698,1978,77,2,"Okay. During your time at Deutsche Bank, after purchasing a security were you involved in monitoring the performance of those securities?",q,MR. CROKE,start_answer
699,1983,77,7,I may have been involved in monitoring.,a,THE WITNESS,start_question
700,1985,77,9,And what would your role typically be in connection with monitoring securities?,q,MR. CROKE,start_answer
701,1988,77,12,I don't recall having a typical monitoring role.,a,THE WITNESS,start_question
702,1990,77,14,Do you recall any specific instances in which you were involved in monitoring securities during your time at Deutsche Bank?,q,MR. CROKE,start_answer
703,1994,77,18,"As I said, I may have monitored some securities, but not typically. Typically my role wasn't to monitor securities.",a,THE WITNESS,start_question
704,1998,77,22,Okay. Understanding that you may have done it --,q,MR. CROKE,start_answer
705,2001,77,25,Yeah.,a,THE WITNESS,start_answer
706,2003,78,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
707,2004,78,2,"-- sitting here today, do you recall any specific instances during your time at Deutsche Bank where you were involved in monitoring securities that you had invested in?",q,MR. CROKE,start_answer
708,2009,78,7,"A specific instance, no.  It doesn't come to my mind right now.",a,THE WITNESS,start_question
709,2011,78,9,Okay. Did your role at Deutsche Bank involve managing the risk of a portfolio of securities?,q,MR. CROKE,start_answer
710,2015,78,13,"Yes, at some point it did.",a,THE WITNESS,start_question
711,2016,78,14,Okay. And was that a responsibility that you gained over time at your time at Deutsche Bank?,q,MR. CROKE,start_chat
712,2020,78,18,Objection.,side_chat,MR. ITKIN,start_answer
713,2021,78,19,Yes.,a,THE WITNESS,start_question
714,2022,78,20,"Okay. At the time you left Deutsche Bank, how large was the portfolio securities for which you were managing the risk?",q,MR. CROKE,start_answer
715,2027,78,25,"Very large, is all I can say.",a,THE WITNESS,start_answer
716,2029,79,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
717,2030,79,2,In the order of billions of dollars?,q,MR. CROKE,start_answer
718,2032,79,4,"I'm sorry, I won't be comfortable answering that question, to be honest. It's a specific matter confidential to my previous employer.",a,THE WITNESS,start_question
719,2036,79,8,Could you explain what you mean by that?,q,MR. CROKE,start_answer
720,2038,79,10,You're talking about my time at Deutsche Bank?,a,THE WITNESS,start_question
721,2040,79,12,Uh-huh.,q,MR. CROKE,start_answer
722,2041,79,13,"I can only answer generally questions about it, but I would be uncomfortable answering questions relating to specificity regarding my role at DB.",a,THE WITNESS,start_question
723,2045,79,17,And why would you be uncomfortable answering that?,q,MR. CROKE,start_answer
724,2047,79,19,Part of it has to do with the fact that I recall having a confidentiality agreement.,a,THE WITNESS,start_question
725,2050,79,22,Okay. And that's a confidentiality agreement between you and Deutsche Bank?,q,MR. CROKE,start_answer
726,2053,79,25,Yes.,a,THE WITNESS,start_answer
727,2055,80,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
728,2056,80,2,Okay. And you believe that that confidentiality agreement prohibits you from answering my questions today?,q,MR. CROKE,start_chat
729,2060,80,6,Objection.  That's not at all what the witness said.,side_chat,MR. ITKIN,start_answer
730,2062,80,8,"Yeah, that's not what I said, actually.  I just simply said that makes me uncomfortable.",a,THE WITNESS,start_question
731,2065,80,11,"Okay. Comfort notwithstanding, are you going to be able to answer my questions that I ask you about your time at Deutsche Bank?",q,MR. CROKE,start_chat
732,2070,80,16,"Objection.  The witness just sat here and answered over an hour of your questions about his time at Deutsche Bank.  He's here as a fact witness.  What his time at Deutsche Bank has to do with anything in this proceeding is still unclear to me, but he has answered all of your questions. So your question to him right now",side_chat,MR. ITKIN,start_answer
733,2081,81,1,"Mathur - Attorneys' Eyes Only is really unfair and mischaracterizes the record. If you want to rephrase your question, I'll be comfortable letting him answer it.  Otherwise, we're going to shut this down -- shut down this line of questioning about his confidentiality agreement.",a,THE WITNESS,start_question
734,2091,81,11,Can you tell me anything about the size of the portfolio that you managed at the time you left Deutsche Bank?,q,MR. CROKE,start_answer
735,2094,81,14,"Yes, it was very large.",a,THE WITNESS,start_question
736,2095,81,15,"Okay. And can you give me any qualification on that as to whether we're talking billions, trillions or millions?",q,MR. CROKE,start_answer
737,2099,81,19,Billions.,a,THE WITNESS,start_question
738,2100,81,20,Okay.  Thank you.,q,MR. CROKE,start_chat
739,2101,81,21,We've been going over an hour.  Can we take a break for like five minutes?,side_chat,MR. ITKIN,start_chat
740,2104,81,24,Sure.,side_chat,MR. CROKE,start_chat
741,2105,81,25,The time is,side_chat,THE VIDEOGRAPHER,start_answer
742,2107,82,1,Mathur - Attorneys' Eyes Only 11:16.  We are going off record.  End of media 1.,a,THE WITNESS,is brackets
743,2110,82,4,(Recess taken from 11:16 a.m. to 11:23 a.m.),brackets,,start_chat
744,2112,82,6,The time is 11:23.  We are back on the record. Beginning of media number 2.,side_chat,THE VIDEOGRAPHER,start_question
745,2115,82,9,"Mr. Mathur, focusing on the time just before you left Deutsche Bank, what was your role at that time?",q,MR. CROKE,start_answer
746,2118,82,12,"Again, it was quite varied. Like, amongst other things, portfolio management.",a,THE WITNESS,start_question
747,2121,82,15,Did you have a title at Deutsche Bank at this time?,q,MR. CROKE,start_answer
748,2123,82,17,"Yes, I did.",a,THE WITNESS,start_question
749,2124,82,18,And what was that title?,q,MR. CROKE,start_answer
750,2125,82,19,As a director.,a,THE WITNESS,start_question
751,2126,82,20,"Did you have a title within a particular business line, for example, head of a certain desk?",q,MR. CROKE,start_answer
752,2129,82,23,Yes.,a,THE WITNESS,start_question
753,2130,82,24,And what was that title?,q,MR. CROKE,start_answer
754,2131,82,25,It's called head of Winchester,a,THE WITNESS,start_answer
755,2133,83,1,Mathur - Attorneys' Eyes Only Capital.,a,THE WITNESS,start_question
756,2135,83,3,And what is Winchester Capital?,q,MR. CROKE,start_answer
757,2136,83,4,"Well, it's not a full name, by the name, so it's Winchester Capital Principal Finance.  It's the -- it's just sort of a name to recognize a principal finance desk more to the outside world than just saying, oh, I'm trading with Deutsche Bank, to specify a certain desk, principal finance desk often have names.",a,THE WITNESS,start_question
758,2144,83,12,And was that considered a proprietary trading desk?,q,MR. CROKE,start_answer
759,2146,83,14,"That is not a name we ever used, but some people might characterize it like that.",a,THE WITNESS,start_question
760,2149,83,17,Okay. How many people reported to you at the time you left Deutsche Bank?,q,MR. CROKE,start_answer
761,2152,83,20,"A few, I think.  At the time I left Deutsche Bank, I'm going to have to think harder to come up with a more accurate answer.  Okay?",a,THE WITNESS,start_question
762,2156,83,24,Okay.,q,MR. CROKE,start_answer
763,2157,83,25,It's a little bit -- the reason,a,THE WITNESS,start_answer
764,2159,84,1,"Mathur - Attorneys' Eyes Only I'm sort of taking so much time is because there were front office people, then there were other people who sort of have a dotted line into it and so on, but there were two primary traders that were directly reporting in to me, three maybe directly reporting in to me, technically per se, but it was like an informal setup like most principal desk, there isn't really a fixed reporting line per se. So a few traders, a handful, less than like five traders probably and some of the middle office guys and risk guys, and we also had, since it's a principal finance desk, started morphing into a legacy at that time. So because you specifically asked and I do want to answer it appropriately, at the time of leaving it was turning into what's called non-cooperating unit.  So there was more of a fluid situation.",a,THE WITNESS,start_question
765,2181,84,23,And who were the traders who were specifically directly reporting to you at that time?,q,MR. CROKE,start_answer
766,2185,85,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_answer
767,2186,85,2,Would you like me to name them?,a,THE WITNESS,start_question
768,2187,85,3,"Yes, if you could.",q,MR. CROKE,start_answer
769,2188,85,4,"Again, I'm uncomfortable answering that question because this is not a public information.  This is just my comfort level -- is it hugely relevant to you?",a,THE WITNESS,start_question
770,2193,85,9,Was one of them Christian Adler?,q,MR. CROKE,start_answer
771,2194,85,10,"I think technically he would have reported in to me, because that wasn't really, as I said before, it was at the time I was leaving, it was more fluid than that.",a,THE WITNESS,start_question
772,2199,85,15,Was Shikha Gupta one of the traders who reported to you?,q,MR. CROKE,start_answer
773,2201,85,17,"Again, similar answer.",a,THE WITNESS,start_question
774,2202,85,18,"But are Mr. Adler and Ms. Gupta, are those among the five or so traders that you mentioned who were reporting to you, or are you thinking of a different group of --",q,MR. CROKE,start_answer
775,2206,85,22,"No, no, no.  It's just that -- I don't recall, it's been a few years now, so I might be missing some specificity here. But from memory at that time",a,THE WITNESS,start_answer
776,2211,86,1,"Mathur - Attorneys' Eyes Only there was a morphing into non-cooperating unit at DB and there was a chatter at that time -- and I don't know whether it materialize, it didn't materialize while I was there -- so if you would ask me to guess, I'll be more comfortable, but if you ask me to be more specific, I probably wouldn't remember very clearly if that be the case.  Would you want me to guess?",a,THE WITNESS,start_question
777,2221,86,11,"I think I can hopefully narrow this.  My question just specifically is, a few moments ago you mentioned that there were five or so traders who reported to you.",q,MR. CROKE,start_answer
778,2226,86,16,Less than five.,a,THE WITNESS,start_question
779,2227,86,17,Less than five. My question is just whether Mr. Adler and Ms. Gupta were among that group or whether you were referring to a different group of people?,q,MR. CROKE,start_answer
780,2232,86,22,"No, no, no.  I was just simply saying that it may have been possible that at the time of my leaving they may not be reporting to me anymore, is what I was",a,THE WITNESS,start_answer
781,2237,87,1,"Mathur - Attorneys' Eyes Only saying, because there were changes happening at that desk at that time.",a,THE WITNESS,start_question
782,2240,87,4,My question is just a few minutes ago you mentioned that there were less than five traders that were reporting directly to you.,q,MR. CROKE,start_answer
783,2244,87,8,Correct.,a,THE WITNESS,start_question
784,2245,87,9,"When you say less than five, are Mr. Adler and Ms. Gupta among that group that you're referring to?",q,MR. CROKE,start_answer
785,2248,87,12,"I clarified my answer further, which is what I'm saying, that I think they were that the time, but I'm guessing because there was a lot of restructuring going on at DB at that time.  It may have been possible that at the time of my departure nobody was reporting in to me. I'm just clarifying that answer to you so that I'm technically accurate.",a,THE WITNESS,start_question
786,2257,87,21,"And at the time just before you left Deutsche Bank, as we discussed earlier, you had a portfolio of risk that you were managing, correct?",q,MR. CROKE,start_answer
787,2261,87,25,Correct.,a,THE WITNESS,start_answer
788,2263,88,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
789,2264,88,2,Okay. Were you the person responsible for trading securities within that portfolio?,q,MR. CROKE,start_answer
790,2268,88,6,"Amongst other people, yes.",a,THE WITNESS,start_question
791,2269,88,7,"And the other people who were involved in that, is that, again, referring to the five or so, or however many it was, traders that were reporting up to you?",q,MR. CROKE,start_answer
792,2273,88,11,At what time exactly?,a,THE WITNESS,start_question
793,2274,88,12,The time just before you left Deutsche Bank.,q,MR. CROKE,start_answer
794,2276,88,14,"Yeah, so the answer is the same. There could have been actually a much larger group of people thinking about it, that could be -- that the risk that I was managing could have included more people than just those five.  And the fact that they were probably not reporting to me does not necessarily mean that they were not also part of that risk. But I'm thinking on my feet right now, so that's the reason my answer may not be technically accurate.  So if you would",a,THE WITNESS,start_answer
795,2289,89,1,"Mathur - Attorneys' Eyes Only go back to DB and ask them what their 7 or 11 people reporting to me at that time of my departure, that may not be right.  So I'm just simply giving you a best guess answer at the moment.",a,THE WITNESS,start_question
796,2295,89,7,"Okay. During your time at Deutsche Bank, did you have any involvement in setting valuations for the securities that you had purchased?",q,MR. CROKE,start_chat
797,2300,89,12,Objection.,side_chat,MR. ITKIN,start_answer
798,2301,89,13,"I don't understand the term ""setting valuation.""",a,THE WITNESS,start_question
799,2303,89,15,"Sure. During your time at Deutsche Bank, were there policies that were followed with respect to determining the valuations of securities that were held on Deutsche Bank's books?",q,MR. CROKE,start_answer
800,2309,89,21,I'm pretty certain Deutsche Bank had a policy.,a,THE WITNESS,start_question
801,2311,89,23,"During your time at Deutsche Bank, were you involved in the process of determining the valuations for securities",q,MR. CROKE,start_answer
802,2315,90,1,Mathur - Attorneys' Eyes Only that were held within the portfolio of risk that you managed?,a,THE WITNESS,start_chat
803,2318,90,4,Objection.,side_chat,MR. ITKIN,start_answer
804,2319,90,5,"To the best of my recollection, no.",a,THE WITNESS,start_question
805,2321,90,7,"During your time at Deutsche Bank, were traders who reported to you involved in the process of determining the valuations for securities that were held within the portfolio of risk that you managed?",q,MR. CROKE,start_chat
806,2327,90,13,Objection.,side_chat,MR. ITKIN,start_answer
807,2328,90,14,"I can't answer the question with certainty if there is anyone reporting to me would have been involved in valuation, but if you're asking me to guess, then no, there wouldn't be.",a,THE WITNESS,start_question
808,2333,90,19,"Okay. During your time at Deutsche Bank, what factors were considered in setting valuations for the securities in the portfolio that you managed?",q,MR. CROKE,start_chat
809,2338,90,24,Objection.,side_chat,MR. ITKIN,start_answer
810,2339,90,25,Without the caveat that it is,a,THE WITNESS,start_answer
811,2341,91,1,"Mathur - Attorneys' Eyes Only security dependent, the biggest criteria would be perhaps the market value at that time.",a,THE WITNESS,start_question
812,2345,91,5,"And by ""market value,"" do you mean the trading that was being observed in the market at that time?",q,MR. CROKE,start_answer
813,2348,91,8,"It depends on the time, actually.",a,THE WITNESS,start_question
814,2349,91,9,Would trading activity in a security that you held within your portfolio be one of the factors that would be considered in setting the valuation of that security?,q,MR. CROKE,start_answer
815,2354,91,14,"Yes, it would be one of the criteria, yeah.",a,THE WITNESS,start_question
816,2356,91,16,"Okay. So, for example, if there was a security in your portfolio that had been valued at, say, 95 percent of par value and then you purchased more of that security at 80 percent of par value, is that something that would affect the valuation of the security held in your portfolio?",q,MR. CROKE,start_answer
817,2364,91,24,When?,a,THE WITNESS,start_question
818,2365,91,25,Sorry?,q,MR. CROKE,start_answer
819,2367,92,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_answer
820,2368,92,2,At what time?,a,THE WITNESS,start_question
821,2369,92,3,During your time at Deutsche Bank.,q,MR. CROKE,start_answer
822,2371,92,5,"Yeah, I was there for a fairly long period of time.  It would depend on when it was.  Broadly speaking, potentially, yes.",a,THE WITNESS,start_question
823,2375,92,9,What were the circumstances under which it would not affect the valuation?,q,MR. CROKE,start_chat
824,2377,92,11,Objection.,side_chat,MR. ITKIN,start_answer
825,2378,92,12,"Look, there could be multiple circumstances.  The value of the security, the market value of the security could depend on, for instance, the size it was traded.  Say you own a $300 million asset on the book, the size that was traded was 50K, at discount that may not have any bearing on the size.",a,THE WITNESS,start_question
826,2386,92,20,Is trading activity generally a good indicator for the market value of a security?,q,MR. CROKE,start_chat
827,2389,92,23,Objection.,side_chat,MR. ITKIN,start_answer
828,2390,92,24,"When you say ""trading activity,"" what do you mean?",a,THE WITNESS,start_answer
829,2393,93,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
830,2394,93,2,"Sure. If you trade a security at a particular price, is that generally a good indicator of the market value of the security?",q,MR. CROKE,start_chat
831,2399,93,7,Objection.,side_chat,MR. ITKIN,start_answer
832,2400,93,8,"Generally in a normal market circumstances, it may be.",a,THE WITNESS,start_question
833,2402,93,10,"During your time at Deutsche Bank, do you know whether the factors that were considered in determining the value of a synthetic CDO differed from the factors that were considered in determining the value of other types of securities in the portfolio that you managed?",q,MR. CROKE,start_chat
834,2409,93,17,Objection.,side_chat,MR. ITKIN,start_answer
835,2410,93,18,"The simple answer is yes, but I would say for any asset, on an asset-by-asset basis.",a,THE WITNESS,start_question
836,2413,93,21,"How did the factors that were considered in determining the value of synthetic CDOs differ from the factors that were considered in determining the value of other types of securities, again during",q,MR. CROKE,start_answer
837,2419,94,1,Mathur - Attorneys' Eyes Only your time at Deutsche Bank?,a,THE WITNESS,start_chat
838,2421,94,3,Objection.,side_chat,MR. ITKIN,start_answer
839,2422,94,4,"What I said is I wouldn't characterize it specifically from synthetic versus non-synthetic, as you call it, but any securities, it is very security specific, what the value is.",a,THE WITNESS,start_question
840,2427,94,9,"Understanding that the specific value of a specific security is obviously specific to that security, my question is just generally with respect to synthetic CDOs as a class, are there different factors that were considered during your time at Deutsche Bank in determining the valuation of those securities as a class as opposed to other classes of securities?",q,MR. CROKE,start_chat
841,2436,94,18,Objection.  Asked and answered.,side_chat,MR. ITKIN,start_answer
842,2438,94,20,"In the same spirit, yes, they would be different.",a,THE WITNESS,start_question
843,2440,94,22,Okay. What were some of those differences?,q,MR. CROKE,start_answer
844,2443,94,25,"With a CDS, for instance, you",a,THE WITNESS,start_answer
845,2445,95,1,"Mathur - Attorneys' Eyes Only often marked a bid on a cash security. CDS, from recollection, is marked at bid -- mid, sorry, not bid -- and the value of that security in a cash format would be different compared to synthetic security in the sense that whether you buy it or protection, it would be different in your seller protection. So even though the reference obligation or the actual underlying security may have one observable value in the market, the way protection buyers and protection sellers look at it is quite different.",a,THE WITNESS,start_question
846,2460,95,16,"And in circumstances in which you're purchasing actual cash notes, but the notes are, you know, issued by either a synthetic CDO or a CDO that is not a synthetic CDO, did the -- during your time at Deutsche Bank, did the factors that were considered in setting the valuations of those two types of floats differ?",q,MR. CROKE,start_chat
847,2468,95,24,Objection.,side_chat,MR. ITKIN,start_answer
848,2469,95,25,There is no specific set of,a,THE WITNESS,start_answer
849,2471,96,1,"Mathur - Attorneys' Eyes Only different valuation procedures per se.  In fact, there was no set of valuing a procedure.  It is extremely asset-by-asset dependent.",a,THE WITNESS,start_question
850,2476,96,6,Uh-huh.,q,MR. CROKE,start_answer
851,2477,96,7,"And I wouldn't even say, go as far as to go and say that two similar-looking RMBS security, it depends on what part of the cap structure, what tranche it is, what market conditions you have, I will have two different criteria for looking at those things. So yes, in that same spirit, as I said before, a synthetic may differ from cash and vice versa.",a,THE WITNESS,start_question
852,2487,96,17,"During your time at Deutsche Bank, did you ever invest in a synthetic CDO that permitted noteholders to replace collateral securities?",q,MR. CROKE,start_answer
853,2491,96,21,Did I personally invest?,a,THE WITNESS,start_question
854,2492,96,22,Start there.,q,MR. CROKE,start_answer
855,2493,96,23,No.,a,THE WITNESS,start_question
856,2494,96,24,"During your time at Deutsche Bank, are you aware of anyone who worked",q,MR. CROKE,start_answer
857,2497,97,1,Mathur - Attorneys' Eyes Only with you on your trading desk in purchasing a synthetic CDO that allowed noteholders to replace collateral securities?,a,THE WITNESS,start_answer
858,2501,97,5,It may have happened.,a,THE WITNESS,start_question
859,2502,97,6,"Sitting here today, do you recall any specific instance in which you or anyone who worked with you at Deutsche Bank purchased a synthetic CDO that allowed noteholders to replace collateral securities?",q,MR. CROKE,start_answer
860,2508,97,12,While I was at the bank?,a,THE WITNESS,start_question
861,2509,97,13,While you were at Deutsche Bank.,q,MR. CROKE,start_answer
862,2510,97,14,It's a very broad question. Across the bank I wouldn't have knowledge about other people.,a,THE WITNESS,start_question
863,2513,97,17,"I'm just asking about what you know.  So during your time at Deutsche Bank, did you -- are you aware of any circumstance in which you, or the people who worked with you on your trading desk, purchased a synthetic CDO that allowed noteholders to replace collateral securities?",q,MR. CROKE,start_answer
864,2521,97,25,Correct.,a,THE WITNESS,start_answer
