,indice,page_number,line_number,text,text_type,speaker,time_added
2719,7461,287,25,I can see that.,a,THE WITNESS,start_answer
2720,7463,288,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
2721,7464,288,2,"Does looking at this and seeing that this is the third year in a row in which the price for the Abacus 2006-10 securities had changed only at year-end refresh your recollection as to whether there was something about Astra's policies that, you know, would update once a year at this point?",q,MR. CROKE,start_chat
2722,7472,288,10,Objection.  Update what?,side_chat,MR. ITKIN,start_chat
2723,7474,288,12,The valuation.,side_chat,MR. CROKE,start_chat
2724,7475,288,13,Do you want to ask that again?  I'm not sure that's clear.,side_chat,MR. ITKIN,start_question
2725,7479,288,17,"Does looking at this and seeing that this is the third year in a row in which the price for the Abacus 2006-10 securities in this chart changed only in December at the year-end, does that refresh your recollection as to whether there was anything in Astra's procedures that focused on, for example, year-end prices in setting new prices?",q,MR. CROKE,start_answer
2726,7489,289,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_chat
2727,7490,289,2,Objection.,side_chat,MR. ITKIN,start_answer
2728,7491,289,3,"Very smart question, Jake, I'll give you that, but I don't have -- I think there are some year-end procedures in place.  But the valuation policy isn't a year-end dependent matter.  So yeah, there could have been some year-end matters that were there.",a,THE WITNESS,start_question
2729,7498,289,10,Okay.,q,MR. CROKE,start_answer
2730,7499,289,11,"And it doesn't refresh my recollection, though, right?",a,THE WITNESS,start_question
2731,7501,289,13,"Fair enough.  Fair enough. And looking at the next row next to January 16th, there is an asterisk that says:  Starting JAN 2016 monthly valuations. Is it safe to assume that that means it's starting January 2016, there would be monthly valuations rather than quarterly?",q,MR. CROKE,start_answer
2732,7510,289,22,That's what it says here.,a,THE WITNESS,start_question
2733,7511,289,23,Thought so. Do you have any recollection as to why there was a change from quarterly,q,MR. CROKE,start_answer
2734,7515,290,1,Mathur - Attorneys' Eyes Only valuations to monthly valuations at the beginning of 2016?,a,THE WITNESS,start_answer
2735,7518,290,4,"No specific recollection, but we decided to convert the valuation from 15 onwards probably, and I'm guessing, probably because we were going from a lockup period to a three-month liquidity. But it doesn't necessary say that, per se.",a,THE WITNESS,start_question
